environment,k_max_vla_invokes,cumulative_success_pct,episodes_with_exactly_k,vla_fullshot_ref_pct,hybrid_overall_ref_pct,n_episodes
LIBERO-Pro,0,3,NA,50,82,NA
LIBERO-Pro,1,52,NA,50,82,NA
LIBERO-Pro,2,68,NA,50,82,NA
LIBERO-Pro,3,73,NA,50,82,NA
LIBERO-Pro,4,77,NA,50,82,NA
LIBERO-Pro,5,79,NA,50,82,NA
LIBERO-Pro,6,80,NA,50,82,NA
RoboCasa365,0,0,NA,30,48,NA
RoboCasa365,1,2,NA,30,48,NA
RoboCasa365,2,11,NA,30,48,NA
RoboCasa365,3,21,NA,30,48,NA
RoboCasa365,4,26,NA,30,48,NA
RoboCasa365,5,29,NA,30,48,NA
RoboCasa365,6,31,NA,30,48,NA
RoboCasa365,7,32,NA,30,48,NA
RoboCasa365,8,35,NA,30,48,NA
RoboCasa365,9,36,NA,30,48,NA
RoboCasa365,10,39,NA,30,48,NA
RoboTwin C2R,0,0,NA,50,58,NA
RoboTwin C2R,1,18,NA,50,58,NA
RoboTwin C2R,2,42,NA,50,58,NA
RoboTwin C2R,3,49,NA,50,58,NA
RoboTwin C2R,4,51,NA,50,58,NA
RoboTwin C2R,5,54,NA,50,58,NA
RoboTwin C2R,6,56,NA,50,58,NA
RoboTwin C2R,7,57,NA,50,58,NA
RoboTwin C2R,8,58,NA,50,58,NA
